"account holder city","Kontoinhaber Stadt"
"Debitor ZIP","PLZ des Schuldners"
"Debitor","Zahlungspflichtiger"
"Debtor differs from bank account holder?","Schuldner ist abweichend von Kontoinhaber"
"Details Debitor","Adressdaten des Schuldner"
"Deviation account holder","abweichender Kontoinhaber"
"Enabled","Aktiviert"
"Enterprise name","Konzernname"
"Error: Couldn't check status of mandate server, no result returned!","Fehler: Status des Auftrags-Server konnte nicht überprüft werden, kein Ergebnis zurückgegeben!"
"External","Extern"
"First Name","Vorname"
"German postal codes must be five digits.","Deutsche Postleitzahlen müssen fünfstellig sein."
"IBAN","IBAN"
"If active the BIC and IBAN will be validated with the ePayBL service","Wenn aktiv, dann wird BIC und IBAN am ePayBL-Service überprüft."
"Internal server error occurred, please try again later.","Es ist ein interner Serverfehler aufgetreten, versuchen Sie es später noch einmal."
"Internal","Intern"
"Kassenzeichen activated","Kassenzeichen aktiviert"
"Mailbox","Postfach"
"Mandate info","Mandats-Informationen"
"Mandate management server is alive","Die Mandatsverwaltung ist erreichbar"
"Mandate PDF Template","Mandats-PDF-Template"
"Mandate reference","Mandatsreferenz"
"Maturity","Fälligkeit"
"Name","Name"
"New Mandate Template","Neues Mandat Template"
"New order status","Stand der neuen Bestellung"
"New order status","Stand der neuen Bestellung"
"No billing address available","Es ist keine Rechnungsadresse verfügbar!"
"No CA certifacte for mandate management server specified!","Kein CA-Zertifikat für den Server der Mandatsverwaltung angegeben!"
"No client certificate for mandate management server specified!","Kein Client-Zertifikat für den Server der Mandatsverwaltung angegeben!"
"No mandate available!","Es steht kein Mandat zur Verfügung!"
"Notification Template","Ankündigung Template"
"Pay within X days","Zahlbar innerhalb von X Tagen"
"Payment from applicable countries","Zahlungen aus entsprechenden Ländern"
"Payment from Specific countries","Zahlungen aus bestimmten Ländern"
"Pdf","PDF"
"Please login first!","Bitte erst einloggen!"
"Postal Code","Postleitzahl"
"Postcode can't be 0","Die Postleitzahl kann nicht 0 sein"
"Postcode is a required field","Postleitzahl wird benötigt"
"Refuse current and create a new one.","Aktuelles Mandat verwerfen und Neues erstellen:"
"Remove and Close Mandate","SEPA Mandat entfernen und schließen"
"SEPA B2B","SEPA B2B"
"SEPA Basis","SEPA Basis"
"SEPA Information","SEPA Informationen"
"SEPA Mandate ID","SEPA Mandats ID"
"SEPA Mandate Id","SEPA Mandats-ID"
"SEPA Mandate Maturity Date has been changed to %s.","Die Fälligkeit des SEPA Mandates wurde auf den %s geändert."
"Sepa Mandate","Sepa Mandat"
"sepadebitsax service finished","SepaDebitSax Service beendet"
"sepadebitsax service is still running","Der SepaDebitSax Service ist gerade aktiv"
"sepadebitsax service started","SepaDebitSax Service gestartet"
"Sort order","Reihenfolge"
"Status","Status"
"Street is a required field","Straße wird benötigt"
"Street","Strasse"
"Successfully synchronized SEPA mandates","SEPA Mandate erfolgreich synchronisiert"
"Support IBAN only","IBAN Only verwenden"
"The customer will not be deleted after every payment transaction on the ePayBL server","Der Kunde wird nicht nach jedem Zahlungsvorgang auf dem Server der ePayBL gelöscht"
"The mandate management server is alive.","Der Server der Mandatsverwaltung ist erreichbar."
"The mandate management server is alive.","Der Server der Mandatsverwaltung ist erreichbar."
"The mandate management server is not available, check log files for further information.","Der Server der Mandatsverwaltung ist nicht verfügbar, die Log-Dateien enthalten genauere Informationen."
"There was an runtime error for the sepadebitsax service. Please check your log files.","Es gab einen Laufzeitfehler im SepaDebitSax Service. Bitte überprüfen Sie die Log-Dateien."
"Title","Titel"
"Use mandate multiple times","Mandat für mehrmalige Nutzung"
"Use mandate one times","Mandat nur für einmalige Nutzung"
"View mandate","Mandat aufrufen"
"You will get a new SEPA Mandate via email. Please subscribe and send it back to %s","Sie bekommen Ihr neues SEPA Mandat via Email zugesandt. Bitte senden Sie es unterschrieben zurück an %s"
"Your actual SEPA mandate is only a one off mandate, please create a new one.","Ihr aktuelles SEPA Mandat ist ein Einmalmandat. Bitte erzeugen Sie ein neues Mandat!"
"Your SEPA Mandate can not used for multi payment. Please create a new one!","Ihr Mandat ist nicht für mehrfache Zahlungen gedacht, bitte erzeugen Sie ein Neues!"
"Your SEPA Mandate is canceled! Please create a new one.","Ihr SEPA Mandat ist gekündigt! Bitte erzeugen Sie ein Neues."
"Your SEPA Mandate is canceled! Please create a new one.","Ihre SEPA-Mandat ist abgelaufen! Bitte erstellen Sie ein neues."
"Your SEPA Mandate is not available at the moment! Please contact the Webshop Owner","Ihr SEPA Mandat ist zur Zeit nicht verfügbar, bitte wenden sie sich an den Shopbetreiber!"
"Your SEPA Mandate is not available at the moment! Please contact the Webshop Owner","Ihre SEPA-Mandat steht im Moment nicht zur Verfügung! Bitte kontaktieren Sie die Shop-Betrieber"
"Your SEPA Mandate is still waiting for signig!","Ihr SEPA-Mandat wartet noch auf eine Unterschrift!"
"Your SEPA Mandate is still waiting for signig!","Ihre Unterschrift wurde an ihrem SEPA Mandat noch nicht registriert!"
