"%s was successfully added to your shopping cart.","%s wurde erfolgreich in den Warenkorb gelegt."
"Check if you want move the following Product to Wishlist: ","Bitte klicken Sie hier wenn Sie das folgende Produkt auf den Wunschzettel setzen wollen: "
"Checkbox text","Checkbox Text"
"Checkout as a Guest or Register","Als Gast zur Kasse oder registrieren"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout Conditions","Widerrufsbelehrung u. ä."
"Subtotal in Cart:","Zwischensumme im Warenkorb:"
"Checkout method","Wie möchten Sie zur Kasse gehen?"
"Checkout Options","Bezahloptionen"
"Checkout Progress","Verlauf"
"Checkout Section","Bezahlvorgang"
"Checkout Terms and Conditions","AGB"
"Checkout with Multiple Addresses","Zur Kasse mit mehreren Adressen"
"Checkout","Zur Kasse"
"City","Ort"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Klicken Sie hier</a>, um eine Bestellbestätigung auszudrucken."
"Close","Schließen"
"Company","Firma"
"Condition Name","Bedingungsbezeichnung"
"Condition was successfully deleted","Bedingung wurde erfolgreich gelöscht"
"Condition was successfully saved","Bedingung wurde erfolgreich gespeichert"
"Configurable product image","Abbildung für konfigurierbares Produkt"
"Confirm Password","Passwort bestätigen"
"Content Height (css)","Inhalt Höhe (CSS)"
"Content Height","Inhalt Höhe"
"Content","Inhalt"
"Continue Shopping","Weiter einkaufen"
"Continue to Billing Information","Weiter zu den Rechnungsinformationen"
"Continue to Review Your Order","Weiter zur Bestellübersicht"
"Continue to Shipping Information","Weiter zu den Versandinformationen"
"Continue","Weiter"
"Country","Land"
"Coupon code ""%s"" is not valid.","Gutscheincode ""%s"" ist ungültig."
"Coupon code ""%s"" was applied successfully.","Gutschein (Code: ""%s"") wurde erfolgreich eingelöst."
"Coupon code was canceled successfully.","Gutschein wurde erfolgreich storniert."
"Create Billing Address","Rechnungsadresse anlegen"
"Create Shipping Address","Versandadresse anlegen"
"Customer Address is not valid.","Kunden-Adresse ist nicht gültig."
"Data saving problem","Problem beim Speichern der Daten"
"Default Billing","Standardrechnung"
"Default Shipping","Standard Versand"
"Delete All Items","Alle Artikel entfernen"
"Delete Condition","Bedingung löschen"
"Details","Details"
"Disable Onepage Checkout","Einseitigen Bezahlvorgang deaktivieren"
"Disabled","Deaktiviert"
"Discount Codes","Gutscheincodes"
"Display Billing Adr. Text","Text für Rechnungsadresse anzeigen"
"Display Cart Summary","Anzeige"
"Display item quantities","Artikelmenge"
"Display number of items in cart","Anzahl der Artikel im Warenkorb"
"Display Shipping Adr. Text","Text für Versandadresse anzeigen"
"Display Shopping Cart Sidebar","Warenkorbsidebar anzeigen"
"Do you can login here.","Hier können Sie sich Anmelden."
"e-Mail address is not valid.","E-Mail-Adresse ist ungültig."
"Easy access to your order history and status","Einfacher Zugriff auf Ihren Bestellablauf und -status"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsadresse bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Versandadresse bearbeiten"
"Edit Terms and Conditions","AGB bearbeiten"
"Edit Your Cart","Warenkorb bearbeiten"
"Edit","Bearbeiten"
"Egovs Checkout","Mehrseitiger Bezahlvorgang"
"Egovs Checkout - Login","Mehrseitiger Bezahlvorgang - Anmeldung"
"Egovs Checkout - Edit New Shipping","Mehrseitiger Bezahlvorgang - neue Versandart bearbeiten"
"Egovs Checkout - Edit Shipping","Mehrseitiger Bezahlvorgang - Versandart bearbeiten"
"Egovs Checkout - Edit Address","Mehrseitiger Bezahlvorgang - Adresse bearbeiten"
"Egovs Checkout - Edit Billing","Mehrseitiger Bezahlvorgang - Zahlart bearbeiten"
"Egovs Checkout - Customer Address","Mehrseitiger Bezahlvorgang - Kundenadresse"
"Egovs Checkout - Addresses","Mehrseitiger Bezahlvorgang - Adressen"
"Egovs Checkout - New Address","Mehrseitiger Bezahlvorgang - neue Adresse"
"Egovs Checkout - Shipping","Mehrseitiger Bezahlvorgang - Versand"
"Egovs Checkout - New Shipping","Mehrseitiger Bezahlvorgang - neue Versandart"
"Egovs Checkout - Shipping Method","Mehrseitiger Bezahlvorgang - Versandart"
"Egovs Checkout - Billing","Mehrseitiger Bezahlvorgang - Zahlart"
"Egovs Checkout - Billing Details","Mehrseitiger Bezahlvorgang - Zahlungsdetails"
"Egovs Checkout - Overview","Mehrseitiger Bezahlvorgang - Übersicht"
"Egovs Checkout - Successview","Mehrseitiger Bezahlvorgang - Abgeschlossen"
"Egovs Checkout - Success","Mehrseitiger Bezahlvorgang - Erfolgreich"
"Email Address","E-Mail-Adresse"
"Enable Terms and Conditions","AGB aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Neue Adresse eingeben"
"Enter New Address","Neue Adresse anlegen"
"Enter your coupon code if you have one.","Wenn Sie einen Gutscheincode besitzen, geben Sie diesen bitte hier ein."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Zielort ein, um die geschätzten Versandkosten anzuzeigen."
"Error while deleting this condition. Please try again later.","Fehler beim Löschen der Bedingung. Bitte versuchen Sie es später noch einmal."
"Error while saving this condition. Please try again later.","Fehler beim Speichern der Bedingung. Bitte versuchen Sie es später noch einmal."
"Estimate Shipping and Tax","Versandkosten (geschätzt)"
"Excl. Tax","zzgl. MwSt."
"Fast and easy check out","Schneller und einfacher Bestellvorgang"
"Fax","Fax"
"Field e-Mail should be allways set to required!","Das Feld e-Mail sollte immer Pflichtfeld sein!"
"First Name","Vorname"
"Forgot an Item?","Artikel vergessen?"
"Forgot your password?","Passwort vergessen?"
"Get a Quote","geschätzte Kosten anzeigen"
"Grand Total:","Gesamtsumme:"
"Grouped product image","Abbildung für kombiniertes Produkt"
"HTML","HTML"
"I agree","Ich stimme zu"
"ID","ID"
"If you have an account with us, please log in.","Wenn Sie bei uns ein Benutzerkonto besitzen, melden Sie sich bitte an."
"Incl. Tax","inkl. MwSt."
"Internal server error occurred, please try again later.","Es ist ein interner Fehler aufgetreten, bitte versuchen Sie es später wieder."
"Invalid data","Ungültiger Wert"
"Invalid Date of Birthday!","Ungültiges Geburtsdatum!"
"Invalid email address ""%s""","Ungültige E-Mail-Adresse ""%s"""
"Invalid shipping method.","Ungültige Versandart."
"Items","Elemente"
"Last Name","Nachname"
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Loading next step...","Der nächste Schritt wird geladen..."
"Login or Create an Account","Anmelden oder Benutzerkonto erstellen"
"Login","Anmelden"
"Manage Checkout Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Maximum display Recently added item(s)","Höchstzahl Anzeige kürzlich hinzugefügter Artikel"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalmenge für den Versand an mehrere Adressen ist: %s"
"Move to Wishlist","Auf den Wunschzettel"
"Multipage","Mehrseitiger Bezahlvorgang"
"My Account","Mein Kundenkonto"
"My Cart (%s item)","Mein Warenkorb (%s Artikel)"
"My Cart (%s items)","Mein Warenkorb (%s Artikel)"
"My Cart Link","Mein Warekorb Link"
"My Cart","Mein Warenkorb"
"My Wishlist","Meine Wunschliste"
"New Address","Neue Adresse"
"New Condition","Neue Bedingung"
"no valid Address given","keine gültige Adresse"
"Onepage","Einseitiger Bezahlvorgang"
"Order #","Bestellung Nr."
"Order now","Bestellung aufgeben"
"Order Review","Bestellübersicht"
"Order Success","Bestellung erfolgt"
"osCommerce Orders","osCommerce Bestellungen"
"Other items in your order","Andere Artikel in Ihrer Bestellung"
"Out of Germany","Außerhalb Deutschlands"
"Password","Passwort"
"Payment Failed Email Reciever","E-Mailempfänger bei fehlgeschlagener Zahlung"
"Payment Failed Email Sender","E-Mailabsender bei fehlgeschlagener Zahlung"
"Payment Failed Emails","E-Mails bei fehlgeschlagener Zahlung"
"Payment Failed Template","E-Mailvorlage bei fehlgeschlagener Zahlung"
"Payment Information","Zahlungs-<br />information"
"Payment method is not defined","Die Zahlweise ist nicht definiert"
"Payment Method","Zahlweise"
"Place Order","Bestellung aufgeben"
"Please <a href=""%s"">continue shopping</a>.","Bitte <a href=""%s"">setzen Sie Ihren Einkauf fort.</a>"
"Please agree to all additional conditions before placing the order.","Bitte bestätigen sie die zusätzlichen Vereinbarungen!"
"Please agree to all terms and conditions before placing the order.","Bitte bestätigen Sie die AGB bzw. die Widerrufsbelehrung!"
"Please agree to all Terms and Conditions before placing the orders.","Bitte bestätigen Sie die AGB bzw. die Widerrufsbelehrung!"
"Please agree to all terms and conditions before placing the orders.","Bitte bestätigen Sie die AGB bzw. die Widerrufsbelehrung!"
"Please check and modify your VAT or try again later.","Bitte prüfen und ändern Sie die Ust-ID oder versuchen Sie es später noch einmal."
"Please continue shopping.","Hier können Sie mit dem Einkaufen fortfahren."
"Please enter city.","Bitte geben Sie Ihren Ort ein."
"Please enter company.","Bitte geben Sie Ihre Firma ein."
"Please enter country.","Bitte geben Sie Ihr Land ein."
"Please enter email.","Bitte geben Sie Ihre e-Mail ein."
"Please enter fax.","Bitte geben Sie Ihre Faxnummer ein."
"Please enter first name or company name.","Bitte geben Sie Ihren Vornamen oder Firmennamen ein."
"Please enter first name.","Bitte geben Sie Ihren Vornamen ein."
"Please enter last name or company name.","Bitte geben Sie Ihren Nachnamen oder Firmennamen ein."
"Please enter last name.","Bitte geben Sie Ihren Nachnamen ein."
"Please enter region.","Bitte geben Sie Ihr Bundesland ein."
"Please enter region.","Bitte geben Sie Ihr Bundesland/Land ein."
"Please enter street.","Bitte geben Sie Ihre Strasse ein."
"Please enter telephone.","Bitte geben Sie Ihre Telefonnummer ein."
"Please enter valid zip/postal code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter zip/postal code.","Bitte geben Sie Ihre PLZ ein."
"Please log in below:","Bitte melden Sie sich hier an::"
"Please put in Quantity for: ","gewünschte Menge für das Produkt: "
"Please select a payment method!","Bitte wählen Sie eine Zahlweise!"
"Please select a shipping method!","Bitte wählen Sie eine Versandart!"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Bundesland"
"Please select shipping address for applicable items","Bitte wählen Sie die Versandadresse für die verfügbaren Produkte"
"Please select shipping methods for all addresses","Bitte wählen Sie die Versandarten für alle Adressen"
"Please select valid payment method.","Bitte wählen Sie eine Bezahlmethode."
"Please select your shipping address","Bitte wählen Sie Ihre Versandadresse"
"Please send me a confirmation of this order by e-Mail","Ich wünsche eine Bestätigung der Bestellung per E-Mail"
"Please take note of our <a href="%s">privacy statement!</a>","Bitte beachten Sie die <a href="%s">Bestimmungen zum Datenschutz!</a>"
"Please take note of our <a href='%s'>privacy statement!</a>","Bitte beachten sie unsere <a href='%s'>Datenschutzbestimmungen!</a>"
"Positive SSL","Positives SSL-Label"
"Prefix","Anrede"
"Price","Preis"
"Proceed to Checkout","Bezahlvorgang fortsetzen"
"Proceed to checkout","zur Kasse gehen"
"Product does not exist","Produkt existiert nicht"
"Product Name","Produktname"
"Product","Produkt"
"Qty","Menge"
"Quote Lifetime (days)","Lebenszeit (in Tagen) angeben"
"Recently added item(s)","Kürzlich hinzugefügte Artikel"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account or Checkout as a Guest:","Registrieren, um ein Konto zu erstellen oder als Gast zur Kasse gehen:"
"Register to Create an Account","Registrieren Sie sich, um Ihr Benutzerkonto anzulegen"
"Register with us for future convenience:","Registrieren Sie sich für mehr Einkaufskomfort bei Ihrem nächsten Besuch:"
"Register","Registrieren"
"Remove Item","Artikel entfernen"
"Remove item","Artikel entfernen"
"Remove Product","Produkt entfernen"
"Remove","Entfernen"
"Required. Please agree the following Text: ","Benötigtes Feld. Bitte bestätigen sie den folgenden Text:"
"Review Order - %s","Bestellübersicht - %s"
"Review Order","Bestellübersicht"
"Sales","Verkäufe"
"Save Condition","Bedingung speichern"
"Save in address book","Im Adressbuch speichern"
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse an."
"Select a billing address from your address book","Bitte wählen Sie Ihre Rechnungsadresse"
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse ein."
"Select Address","Adresse auswählen"
"Select Addresses","Adressen auswählen"
"Select one option, please!","Bitte wählen Sie eine Option!"
"Select Shipping Method","Versandart auswählen"
"Select State/Province...","Land/Bundesland auswählen..."
"Send E-Mail Invoice automatically","Email automatisch versenden"
"Send Payment Failed Email Copy Method","Methode für E-Mailkopie bei Zahlungsfehler"
"Send Payment Failed Email Copy To","E-Mailkopie bei Zahlungsfehler an"
"Send to","Sende an"
"separate by "",""","durch Komma "","" getrennt"
"Ship to different address","An andere Adresse verschicken"
"Ship to Multiple Addresses","An mehrere Adressen versenden"
"Ship to this address","An diese Adresse verschicken"
"Shipping Address","Versandadresse"
"Shipping Adr. Text","Textblock für Versandadresse"
"Shipping charges","Versandkosten"
"Shipping Information","Versand&shy;information"
"Shipping method has not been selected yet","Es wurde noch keine Versandart ausgewählt"
"Shipping Method","Versandart"
"Shipping Methods","Versandarten"
"Shipping selection is not applicable","Versandauswahl ist nicht anwendbar"
"Shipping to","Verschicken an"
"Shopping Cart is Empty","Der Warenkorb ist leer"
"Shopping Cart Sidebar","Warenkorbsidebar"
"Shopping Cart","Warenkorb"
"Show Content as","Zeige Inhalt als"
"Skip Step Shipping Method (if only one available)","Überspringen der Versandmethode falls nur eine vorhanden"
"Some of the products you requested are not available in the desired quantity","Einige der gewünschten Artikel sind nicht in ausreichender Stückzahl vorhanden"
"Some of the products you requested are unavailable","Einige der gewünschten Artikel sind nicht verfügbar"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Entschuldigung, der Bezahlvorgang als Gast ist nicht verfügbar. Bitte versuchen Sie es später nocheinmal oder nehmen Sie Kontakt zum Shopbetreiber auf."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan gibt es keine Angebote für diese Bestellung."
"Sorry, Onepage Checkout is disabled.","Entschuldigung, der einseitige Bezahlvorgang steht nicht zur Verfügung."
"Sorry,an Error occurs:<br/>Maybe you have exceeded the payment limits or you can not buy this products together. Please contact the Owner of the Webshop!","Entschuldigung es ist ein Fehler aufgetreten.<br/>Entweder haben Sie die Limits der Bezahlmodule überschritten oder Ihre Produkte können nicht zusammen gekauft werden. Bitte informieren Sie den Webshop Betreiber! "
"State/Province","Land/Bundesland"
"Status","Status"
"Store Pickup","Selbstabholung"
"Store View","StoreView"
"Street Address 2","Straße 2"
"Street Address","Straße und Hausnummer"
"Street","Straße"
"Submitting order information...","Bestellung wird übermittelt..."
"Subtotal","Zeilensumme"
"Telephone","Telefon"
"Template for Invoice E-Mail","Vorlage für Email"
"Terms and Conditions Information","Informationen zu Bestellbedingungen"
"Terms and Conditions","Bestellbedingungen"
"Terms and conditions","Bestellbedingungen"
"Text","Text"
"TEXT_PROCESS_ERROR:UNKNOWN SOAP ERROR","Beim Verarbeiten der Bestellung trat ein Fehler auf. Bitte versuchen Sie es später noch einmal oder nehmen Sie Kontakt mit uns auf."
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","<a href=""%s""><strong>%s Artikel</strong></a> im Warenkorb."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","<a href=""%s""><strong>1 Artikel</strong></a> im Warenkorb."
"There is already a customer registered using this email address","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert!"
"There was an error processing your order. Please contact us or try again later.","Beim Verarbeiten der Bestellung trat ein Fehler auf. Bitte versuchen Sie es später noch einmal oder nehmen Sie Kontakt mit uns auf."
"This condition no longer exists","Diese Bedingung existiert nicht mehr"
"This Shipping Method is not availible using this address!","Diese Versandmethode ist für diese Adresse nicht verfügbar!"
"Total for this address","Gesamtsumme für diese Adresse"
"Total","Gesamt"
"Unit Price","Einzelpreis"
"Update Qty &amp; Addresses","Stückzahlen &amp; Adressen aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Total","Gesamtsumme aktualisieren"
"Use Billing Address","Rechnungsadresse verwenden"
"Vat for base address not valid or could not be validated!","Die USt-Id der Stammadresse ist ungültig oder kann nicht validiert werden!"
"Vat for billing address not valid or could not be validated!","Die USt-Id der Rechnungsadresse ist ungültig oder kann nicht validiert werden!"
"Vat for shipping address not valid or could not be validated!","Die USt-Id der Lieferadresse ist ungültig oder kann nicht validiert werden!"
"Vat not valid or could not be validated!","UstId ist ungültig oder kann nicht validiert werden!"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir Ihre Bestellung... Sie werden bald eine E-Mail mit Details zu Ihrer Bestellung erhalten.<br/>Nach erfolgtem Versand bekommen Sie eine weitere E-Mail mit einem Link zur Überwachung des Versandwegs."
"You can get a order confirmation with valid e-Mail Address only.","Eine Bestellbestätigung können sie nur mir einer gültigen E-Mail-Adresse erhalten."
"You have no items in your shopping cart.","Sie haben keine Artikel im Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie werden eine E-Mail mit einer detaillierten Bestell-Bestätigung erhalten sowie einen Link zur Überprüfung des Fortschritts Ihrer Bestellung."
"Your Checkout Progress","Ihr Bestellfortschritt"
"Your order # is: %s","Ihre Auftragsnummer lautet %s"
"Your order # is: <a href=""%s"">%s</a>","Ihre Bestellnummer lautet: <a href=""%s"">%s</a>"
"Your order # is:","Ihre Bestellnummer ist:"
"Your order has been received","Ihre Bestellung ist eingegangen"
"Your order number is ","Ihre Bestellnummer lautet "
"Your Transaction Number is:","Ihr Buchungskennzeichen ist:"
"Zip Code","Plz"
"Zip/Postal Code","Postleitzahl"
