"Address","Adresse"
"TEXT_PROCESS_ERROR:-0104","Der Nachname des Kunden ist ungültig, er muss zwischen einem und 27 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-0201","Die Adresse ist ungültig oder null."
"TEXT_PROCESS_ERROR:-0202","Die Postleitzahl ist nicht gültig: sie muss gefüllt sein und darf maximal 10 Zeichen lang sein. Deutsche Postleitzahlen müssen fünfstellig und nummerisch sowie größer als 00000 sein."
"TEXT_PROCESS_ERROR:-0203","Der Ort ist nicht gültig: er muss gefüllt sein und darf maximal 22 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-0205","Die Straße ist nicht gültig: sie darf maximal 100 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-0206","Die Hausnummer ist nicht gültig: sie darf maximal 10 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-0207","Das Postfach ist nicht gültig: es darf maximal 10 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-0208","Das Land ist nicht gültig oder wurde nicht angegeben (ISO 3166-1, zwei Großbuchstaben)"
"TEXT_PROCESS_ERROR:-0213","Bei der Angabe eines Postfachs müssen die Felder Straße und Hausnr. leer bleiben."
"TEXT_PROCESS_ERROR:-0301","Es wurde kein Bewirtschafter angegeben."
"TEXT_PROCESS_ERROR:-0302","Die Bewirtschafternummer ist nicht oder falsch gefüllt."
"TEXT_PROCESS_ERROR:-0303","Der Name des Bewirtschafters ist nicht oder falsch gefüllt."
"TEXT_PROCESS_ERROR:-0304","Die Dienststellenbezeichnung des Bewirtschafters ist nicht oder falsch gefüllt."
"TEXT_PROCESS_ERROR:-0305","Der Bewirtschafter ist dem Mandanten nicht zugeordnet."
"TEXT_PROCESS_ERROR:-0306","Der Bewirtschafter existiert nicht."
"TEXT_PROCESS_ERROR:-0308","Der gewählte Bewirtschafter ist nicht aktiv."
"TEXT_PROCESS_ERROR:-0309","Das für den Bewirtschafter konfigurierte Layout des ZÜV-Verwendungszwecks ist nicht gültig."
"TEXT_PROCESS_ERROR:-0310","Die angegebene L�nge des Kassenzeichen ist zu kurz oder zu lang (gültig ist eine Länge zwischen 2 und 30)."
"TEXT_PROCESS_ERROR:-0401","Die angegebene Bankverbindung ist ungültig oder null."
"TEXT_PROCESS_ERROR:-0402","Die angegebene Bankleitzahl ist zu kurz oder zu lang (gültig ist eine Länge zwischen 8 und 8)."
"TEXT_PROCESS_ERROR:-0403","Die angegebene Kontonummer ist zu kurz oder zu lang (gültig ist eine Länge zwischen 5 und 10)."
"TEXT_PROCESS_ERROR:-0413","Der angegebene Kontoinhaber ist zu kurz oder zu lang (maximal 25 Zeichen)."
"TEXT_PROCESS_ERROR:-0501","Das angegebene Objekt Buchungsliste war null."
"TEXT_PROCESS_ERROR:-0502","Das Kassenzeichen entspricht nicht der Prüfziffernberechnung."
"TEXT_PROCESS_ERROR:-0503","In der Buchungsliste wurde ein ungültiger Betrag eingetragen (kleiner oder gleich 0)"
"TEXT_PROCESS_ERROR:-0504","Das Kennzeichen Mahnverfahren der Buchungsliste ist ungültig."
"TEXT_PROCESS_ERROR:-0505","Die Anzahl der Buchungen in dieser Buchungsliste ist zu gering oder zu groß."
"TEXT_PROCESS_ERROR:-0506","Der Gesamtbetrag der Buchungsliste stimmt nicht mit der Summe der enthaltenen Buchungen überein."
"TEXT_PROCESS_ERROR:-0507","Das Zahlverfahren dieser Buchungsliste ist ungültig oder wird nicht unterstützt."
"TEXT_PROCESS_ERROR:-0508","Das Fälligkeitsdatum der Buchungsliste ist ungültig."
"TEXT_PROCESS_ERROR:-0509","Der Kunde der Buchungsliste ist nicht vorhanden."
"TEXT_PROCESS_ERROR:-0510","Der Mindestbetrag für dieses Zahlverfahren wurde nicht erreicht."
"TEXT_PROCESS_ERROR:-0511","Der Maximalbetrag für dieses Zahlverfahren wurde überschritten."
"TEXT_PROCESS_ERROR:-0512","Maximaler Bestellwert im Rückbuchungszeitraum wurde überschritten (Sicherheitslevelüberprüfung 2 lt. Feinkonzept)."
"TEXT_PROCESS_ERROR:-0514","Die gewählte Währung ist nicht gültig."
"TEXT_PROCESS_ERROR:-0515","Das Kassenzeichen existiert bereits mit einem anderen Zahlverfahren und ist nicht ausgeglichen."
"TEXT_PROCESS_ERROR:-0516","Das Kassenzeichen existiert bereits für einen anderen Mandanten."
"TEXT_PROCESS_ERROR:-0517","Das Kassenzeichen existiert bereits für einen anderen Kunden."
"TEXT_PROCESS_ERROR:-0518","Das Kassenzeichen existiert bereits mit einer anderen Währung."
"TEXT_PROCESS_ERROR:-0519","Das Kassenzeichen existiert bereits mit einem anderen Bewirtschafter."
"TEXT_PROCESS_ERROR:-0520","Das Kassenzeichen existiert bereits und ist auf der Paypage noch nicht vervollständigt worden."
"TEXT_PROCESS_ERROR:-0521","Das Kassenzeichen in der Buchungsliste ist nicht gefüllt, obwohl die ePayment-Konfiguration für vorsieht, das der Mandant die Kassenzeichen generiert."
"TEXT_PROCESS_ERROR:-0522","Das Kassenzeichen der Buchungsliste darf nicht gefüllt sein, da dieses automatisch von ePayment vergeben wird."
"TEXT_PROCESS_ERROR:-0525","Der Betrag der Buchungsliste hat zu viele Nachkommastellen (erlaubt sind 2)"
"TEXT_PROCESS_ERROR:-0529","Bei der Anlage einer (temporären) Buchungsliste darf kein bereits existierendes Kassenzeichen verwendet werden."
"TEXT_PROCESS_ERROR:-0530","Die angegebene Transaktionsnummer ist ungültig."
"TEXT_PROCESS_ERROR:-0531","Die angegebene Transaktionsnummer muss eindeutig sein und ist bereits im ePayment-System vorhanden."
"TEXT_PROCESS_ERROR:-0601","Eine Buchung der Buchungsliste war ungültig."
"TEXT_PROCESS_ERROR:-0602","Der Betrag einer Buchung der Buchungsliste ist ungültig."
"TEXT_PROCESS_ERROR:-0603","Ein Betrag einer Buchung der Buchungsliste hat zu viele Nachkommastellen (erlaubt sind 2)"
"TEXT_PROCESS_ERROR:-0604","Die Haushaltsstelle einer Buchung der Buchungsliste ist syntaktisch nicht korrekt."
"TEXT_PROCESS_ERROR:-0605","Die Objektnummer einer Buchung der Buchungsliste ist syntaktisch nicht korrekt."
"TEXT_PROCESS_ERROR:-0606","Die Belegnummer einer Buchung der Buchungsliste ist ungültig."
"TEXT_PROCESS_ERROR:-0607","Die Belegnummer zumindest einer Buchung der Buchungsliste ist nicht gefüllt, obwohl die Konfiguration vorsieht, dass der Mandant die Belegnummer vorgibt."
"TEXT_PROCESS_ERROR:-0608","Die Belegnummern der Buchungsliste dürfen nicht gefüllt sein, da diese automatisch von dem ePayment System vergeben werden."
"TEXT_PROCESS_ERROR:-0609","Der Buchungstext einer Buchung der Buchungsliste ist zu lang oder zu kurz."
"TEXT_PROCESS_ERROR:-0610","Der Buchungstext einer Buchung der Buchungsliste enthält ungültige Zeichen."
"TEXT_PROCESS_ERROR:-0611","Der Titel (Haushaltsstelle und Objektnummer) einer Buchung der Buchungsliste ist für den Bewirtschafter nicht freigegeben."
"TEXT_PROCESS_ERROR:-0612","Der Href (Buchungsreferenz) einer Buchung der Buchungsliste ist zu lang oder zu kurz."
"TEXT_PROCESS_ERROR:-0701","Es sind keine Zahlungsinformationen (Bankverbindung bzw. Kreditkartendetails) zu einer Buchungsliste vorhanden, obwohl sie erforderlich sind."
"TEXT_PROCESS_ERROR:-0702","Eine angegebene BLZ ist ungültig."
"TEXT_PROCESS_ERROR:-0703","Eine angegebene Kontonummer ist ungültig."
"TEXT_PROCESS_ERROR:-1706","Die Kreditkartennummer ist ungültig: sie muss zwischen 12 und 19 Ziffern lang sein."
"TEXT_PROCESS_ERROR:-1707","Der Karteninhaber ist ungültig, das Feld muss zwischen 0 und 25 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-1708","Der Kreditkartentyp ist ungültig, er darf bis zu 16 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-1709","Der Autorisierungscode ist ungültig, er darf bis zu 10 Zeichen lang sein."
"TEXT_PROCESS_ERROR:-1710","Das Gültigkeitsdatum ist ungültig, es muss dem Muster MMJJJJ entsprechen!"
"TEXT_PROCESS_ERROR:-1712","Das Autorisierungsdatum ist ungültig."
"TEXT_PROCESS_ERROR:-1800","Es wurde keine Reservierung angegeben (interner Fehler)."
"TEXT_PROCESS_ERROR:-1801","Die angegebene Reservierung ist nicht vorhanden oder nicht mehr gültig."
"TEXT_PROCESS_ERROR:-1802","Die angegebene Reservierung ist nicht dem aktuellen Mandanten zugeordnet."
"TEXT_PROCESS_ERROR:-1803","Die angegebene Reservierung lautet auf einen geringeren Betrag."
"TEXT_PROCESS_ERROR:-9970","Der Belegnummernpool des Bewirtschafters ist nicht korrekt konfiguriert."
"TEXT_PROCESS_ERROR:-9977","Es fehlt ein aktiver Belegnummernpool für den Bewirtschafter."
"TEXT_PROCESS_ERROR:-9980","Der Kassenzeichenpool des Bewirtschafters ist nicht korrekt konfiguriert."
"TEXT_PROCESS_ERROR:-9988","Es fehlt ein aktiver Kassenzeichenpool für den Bewirtschafter."
"TEXT_PROCESS_ERROR:-9999","Interner nicht dokumentierter Fehler im ePayment-System."
